Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
solstice-signet-ring,Solstice Signet Ring,"<p>A modern signet ring cast in solid gold, hand-finished with a brushed matte face. Designed to be worn daily and layered with your favorite stacking rings.</p>",ILAYYA,Rings,"new,rings",TRUE,Size,5,SOL-RING-05,25,deny,manual,145.00,,TRUE,TRUE,Solstice Signet Ring,FALSE,Solstice Signet Ring | ILAYYA,A modern solid gold signet ring designed for everyday wear.,g,active
solstice-signet-ring,,,,,,,,6,SOL-RING-06,25,deny,manual,145.00,,TRUE,TRUE,,,,,,
solstice-signet-ring,,,,,,,,7,SOL-RING-07,25,deny,manual,145.00,,TRUE,TRUE,,,,,,
solstice-signet-ring,,,,,,,,8,SOL-RING-08,25,deny,manual,145.00,,TRUE,TRUE,,,,,,
twist-band-ring,Twist Band Ring,"<p>A sculptural twist band in solid gold with a soft polished finish. A quiet statement piece that pairs beautifully with the Solstice Signet.</p>",ILAYYA,Rings,rings,TRUE,Size,5,TWI-RING-05,20,deny,manual,120.00,,TRUE,TRUE,Twist Band Ring,FALSE,Twist Band Ring | ILAYYA,A sculptural solid gold twist band ring.,g,active
twist-band-ring,,,,,,,,6,TWI-RING-06,20,deny,manual,120.00,,TRUE,TRUE,,,,,,
twist-band-ring,,,,,,,,7,TWI-RING-07,20,deny,manual,120.00,,TRUE,TRUE,,,,,,
twist-band-ring,,,,,,,,8,TWI-RING-08,20,deny,manual,120.00,,TRUE,TRUE,,,,,,
twist-band-ring,,,,,,,,9,TWI-RING-09,20,deny,manual,120.00,,TRUE,TRUE,,,,,,
aria-huggie-hoops,Aria Huggie Hoops,"<p>Featherlight huggie hoops in solid gold, sized for everyday comfort. Wear alone or stack with the Petite Bezel Studs.</p>",ILAYYA,Earrings,"new,earrings",TRUE,Title,Default Title,ARI-EAR-01,40,deny,manual,85.00,,TRUE,TRUE,Aria Huggie Hoops,FALSE,Aria Huggie Hoops | ILAYYA,Lightweight solid gold huggie hoop earrings.,g,active
petite-bezel-studs,Petite Bezel Studs,"<p>Minimal bezel-set studs finished by hand. A everyday essential built to layer effortlessly.</p>",ILAYYA,Earrings,earrings,TRUE,Title,Default Title,PET-EAR-01,50,deny,manual,68.00,,TRUE,TRUE,Petite Bezel Studs,FALSE,Petite Bezel Studs | ILAYYA,Minimal solid gold bezel-set stud earrings.,g,active
nova-chain-necklace,Nova Chain Necklace,"<p>A fine cable chain necklace in solid gold, designed to sit close to the collarbone. Available in two lengths.</p>",ILAYYA,Necklaces,"new,necklaces",TRUE,Length,16in,NOV-NEC-16,30,deny,manual,165.00,,TRUE,TRUE,Nova Chain Necklace,FALSE,Nova Chain Necklace | ILAYYA,A fine solid gold cable chain necklace.,g,active
nova-chain-necklace,,,,,,,,18in,NOV-NEC-18,30,deny,manual,165.00,,TRUE,TRUE,,,,,,
halo-pendant-necklace,Halo Pendant Necklace,"<p>A delicate circular pendant on a fine chain, cast in solid gold with a hand-polished finish.</p>",ILAYYA,Necklaces,necklaces,TRUE,Title,Default Title,HAL-NEC-01,35,deny,manual,195.00,225.00,TRUE,TRUE,Halo Pendant Necklace,FALSE,Halo Pendant Necklace | ILAYYA,A delicate solid gold halo pendant necklace.,g,active
cascade-tennis-bracelet,Cascade Tennis Bracelet,"<p>A refined tennis bracelet set in solid gold. Secure clasp, designed for daily wear.</p>",ILAYYA,Bracelets,"new,bracelets",TRUE,Title,Default Title,CAS-BRA-01,15,deny,manual,320.00,,TRUE,TRUE,Cascade Tennis Bracelet,FALSE,Cascade Tennis Bracelet | ILAYYA,A refined solid gold tennis bracelet.,g,active
orbit-cuff-bracelet,Orbit Cuff Bracelet,"<p>An open cuff bracelet in solid gold with a soft brushed finish. One size, adjustable fit.</p>",ILAYYA,Bracelets,bracelets,TRUE,Title,Default Title,ORB-BRA-01,25,deny,manual,145.00,,TRUE,TRUE,Orbit Cuff Bracelet,FALSE,Orbit Cuff Bracelet | ILAYYA,An adjustable solid gold cuff bracelet.,g,active
